aaaaaaaaa
Node Name                                                                     Ops                                                                                                       Time(us)  Time(%)  Start Time       End Time         Shape             Inputs  Outputs  
pad130                                                                        fuse_pad_2                                                                                                8.76      0.01     13:08:04.637010  13:08:04.637021  (1, 54, 6, 192)   1       1        
broadcast_add332                                                              fuse_conv2d_broadcast_add_1                                                                               349.28    0.48     13:08:04.637037  13:08:04.637388  (1, 54, 6, 192)   3       1        
pad131                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  23.09     0.03     13:08:04.637397  13:08:04.637421  (1, 1, 192, 192)  3       1        
pad127                                                                        fuse_pad                                                                                                  9.18      0.01     13:08:04.637439  13:08:04.637450  (192,)            1       1        
broadcast_add329                                                              fuse_conv2d_broadcast_add_2                                                                               267.94    0.37     13:08:04.637476  13:08:04.637747  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/expand_conv4/add_17/add                                            fuse_conv2d_broadcast_add_broadcast_add_1                                                                 2923.33   3.99     13:08:04.637755  13:08:04.640682  (1, 54, 6, 192)   4       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_33/batchnorm/mul      fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         10.81     0.01     13:08:04.640710  13:08:04.640722  (1, 1, 192, 192)  3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_33/batchnorm/add_1    fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_1                                            47.08     0.06     13:08:04.640743  13:08:04.640791  (192,)            4       1        
pad132                                                                        fuse_pad_2                                                                                                11.52     0.02     13:08:04.640798  13:08:04.640811  (1, 54, 6, 192)   1       1        
broadcast_add334                                                              fuse_conv2d_broadcast_add_1                                                                               359.28    0.49     13:08:04.640827  13:08:04.641188  (1, 56, 8, 192)   3       1        
pad133                                                                        fuse_pad_2                                                                                                8.54      0.01     13:08:04.641199  13:08:04.641210  (3, 3, 192, 192)  1       1        
broadcast_add335                                                              fuse_conv2d_broadcast_add_1                                                                               331.6     0.45     13:08:04.641228  13:08:04.641562  (192,)            3       1        
pad134                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  20.36     0.03     13:08:04.641569  13:08:04.641592  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_34/batchnorm/mul      fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         7.0       0.01     13:08:04.641630  13:08:04.641639  (192,)            3       1        
Rcnn_ctcV3/conv_block4/unit1/static_batch_normalization_34/batchnorm/add_1    fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_2                       3069.54   4.19     13:08:04.641655  13:08:04.644728  (1,)              6       1        
pad135                                                                        fuse_pad_2                                                                                                9.79      0.01     13:08:04.644739  13:08:04.644751  (192,)            1       1        
broadcast_add337                                                              fuse_conv2d_broadcast_add_1                                                                               341.45    0.47     13:08:04.644767  13:08:04.645111  (192,)            3       1        
pad136                                                                        fuse_pad_2                                                                                                8.7       0.01     13:08:04.645119  13:08:04.645130  (192,)            1       1        
broadcast_add338                                                              fuse_conv2d_broadcast_add_1                                                                               356.66    0.49     13:08:04.645147  13:08:04.645506  (192,)            3       1        
pad137                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  21.66     0.03     13:08:04.645514  13:08:04.645537  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4/unit1/add_18/add                                       fuse_conv2d_broadcast_add_broadcast_add_1                                                                 2862.3    3.91     13:08:04.645554  13:08:04.648420  (1, 54, 6, 192)   4       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_35/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         10.29     0.01     13:08:04.648452  13:08:04.648464  (1, 1, 192, 192)  3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_35/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_1                                            48.33     0.07     13:08:04.648479  13:08:04.648529  (192,)            4       1        
pad138                                                                        fuse_pad_2                                                                                                9.39      0.01     13:08:04.648537  13:08:04.648548  (1, 54, 6, 192)   1       1        
broadcast_add340                                                              fuse_conv2d_broadcast_add_1                                                                               331.98    0.45     13:08:04.648568  13:08:04.648902  (1, 54, 6, 192)   3       1        
pad139                                                                        fuse_pad_2                                                                                                9.12      0.01     13:08:04.648911  13:08:04.648922  (1, 1, 192, 192)  1       1        
broadcast_add341                                                              fuse_conv2d_broadcast_add_1                                                                               330.47    0.45     13:08:04.648939  13:08:04.649274  (192,)            3       1        
pad140                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  20.12     0.03     13:08:04.649282  13:08:04.649304  (1, 54, 6, 192)   3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_36/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         7.07      0.01     13:08:04.649338  13:08:04.649346  (1, 56, 8, 192)   3       1        
Rcnn_ctcV3/conv_block4_1/unit2/static_batch_normalization_36/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add_2                       3048.92   4.16     13:08:04.649363  13:08:04.652415  (3, 3, 192, 192)  6       1        
pad141                                                                        fuse_pad_2                                                                                                11.36     0.02     13:08:04.652426  13:08:04.652439  (192,)            1       1        
broadcast_add343                                                              fuse_conv2d_broadcast_add_1                                                                               339.08    0.46     13:08:04.652459  13:08:04.652801  (192,)            3       1        
pad142                                                                        fuse_pad_2                                                                                                9.16      0.01     13:08:04.652809  13:08:04.652820  (1,)              1       1        
broadcast_add344                                                              fuse_conv2d_broadcast_add_1                                                                               331.58    0.45     13:08:04.652837  13:08:04.653171  (192,)            3       1        
pad143                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad_1  19.73     0.03     13:08:04.653179  13:08:04.653200  (192,)            3       1        
Rcnn_ctcV3/static_batch_normalization_37/batchnorm/mul                        fuse_broadcast_add___pow_scalar___broadcast_mul_1                                                         6.49      0.01     13:08:04.653237  13:08:04.653245  (192,)            3       1        
Rcnn_ctcV3/static_batch_normalization_37/batchnorm/add_1                      fuse_conv2d_broadcast_add_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add           2912.17   3.98     13:08:04.653261  13:08:04.656177  (192,)            7       1        
pad144                                                                        fuse_pad_2                                                                                                10.77     0.01     13:08:04.656187  13:08:04.656200  (1, 54, 6, 192)   1       1        
broadcast_add346                                                              fuse_conv2d_broadcast_add_1                                                                               334.56    0.46     13:08:04.656218  13:08:04.656555  (1, 54, 6, 192)   3       1        
pad145                                                                        fuse_pad_2                                                                                                9.41      0.01     13:08:04.656563  13:08:04.656574  (1, 1, 192, 192)  1       1        
broadcast_add347                                                              fuse_conv2d_broadcast_add_1                                                                               329.77    0.45     13:08:04.656590  13:08:04.656922  (192,)            3       1        
Rcnn_ctcV3/activation/max_36/mul                                              fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul        19.02     0.03     13:08:04.656930  13:08:04.656951  (1, 54, 6, 192)   3       1        
broadcast_add348                                                              fuse_conv2d_broadcast_add_3                                                                               10935.89  14.93    13:08:04.656975  13:08:04.667916  (1, 54, 6, 192)   3       1        
NNVM 0.2779756020754576
Node Name                                                                     Ops                                                                                                       Time(us)  Time(%)  Start Time       End Time         Shape             Inputs  Outputs  
---------                                                                     ---                                                                                                       --------  -------  ----------       --------         -----             ------  -------  
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_28/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           10615.65  7.87     13:08:04.593228  13:08:04.603860  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_28/batchnorm/add_1  fuse_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                                              60.08     0.04     13:08:04.603931  13:08:04.603994  (1,)              4       1        
pad115                                                                        fuse_pad                                                                                                  23.49     0.02     13:08:04.604000  13:08:04.604025  (1,)              1       1        
broadcast_add317                                                              fuse_conv2d_broadcast_add                                                                                 655.63    0.49     13:08:04.604042  13:08:04.604700  (1,)              3       1        
pad116                                                                        fuse_pad                                                                                                  7.76      0.01     13:08:04.604708  13:08:04.604718  (1,)              1       1        
broadcast_add318                                                              fuse_conv2d_broadcast_add                                                                                 639.96    0.47     13:08:04.604733  13:08:04.605375  (1,)              3       1        
pad117                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    22.2      0.02     13:08:04.605385  13:08:04.605409  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_29/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           7.78      0.01     13:08:04.605444  13:08:04.605453  (1,)              3       1        
Rcnn_ctcV3/conv_block3_1/unit2/static_batch_normalization_29/batchnorm/add_1  fuse_conv2d_broadcast_add_broadcast_mul_broadcast_mul_broadcast_sub_broadcast_add                         6147.15   4.56     13:08:04.605470  13:08:04.611621  (1,)              6       1        
pad118                                                                        fuse_pad                                                                                                  10.96     0.01     13:08:04.611634  13:08:04.611646  (1,)              1       1        
broadcast_add320                                                              fuse_conv2d_broadcast_add                                                                                 623.71    0.46     13:08:04.611663  13:08:04.612291  (1, 54, 6, 192)   3       1        
pad119                                                                        fuse_pad                                                                                                  9.96      0.01     13:08:04.612301  13:08:04.612313  (192,)            1       1        
broadcast_add321                                                              fuse_conv2d_broadcast_add                                                                                 616.52    0.46     13:08:04.612330  13:08:04.612948  (1,)              3       1        
pad120                                                                        fuse_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_sub_relu_broadcast_add_broadcast_mul_pad    18.59     0.01     13:08:04.612956  13:08:04.612976  (192,)            3       1        
Rcnn_ctcV3/conv_block3_1/unit2/add_15/add                                     fuse_conv2d_broadcast_add_broadcast_add                                                                   6090.71   4.52     13:08:04.612999  13:08:04.619094  (192,)            4       1        
Rcnn_ctcV3/conv_block3_2/unit3/static_batch_normalization_30/batchnorm/mul    fuse_broadcast_add___pow_scalar___broadcast_mul                                                           10.16     0.01     13:08:04.619122  13:08:04.619134  (192,)            3       1        
